iter	RMSE
0	14.15239219
1	13.28340788
2	12.44058209
3	11.80648702
4	11.12769441
5	10.53433141
6	10.03308971
7	9.631829592
8	9.206365362
9	8.771921207
10	8.427137078
11	8.109106632
12	7.806292153
13	7.529894679
14	7.353077484
15	7.181496702
16	6.969334389
17	6.777283706
18	6.648615281
19	6.516701177
20	6.385831174
21	6.283753055
22	6.183285299
23	6.092229314
24	6.0089922
25	5.917047274
26	5.845221599
27	5.780588898
28	5.722268304
29	5.659007511
30	5.619463255
31	5.576345166
32	5.533675901
33	5.505670542
34	5.477694698
35	5.441757589
36	5.407788089
37	5.376730753
38	5.354231397
39	5.329806092
40	5.311374482
41	5.288228983
42	5.278396481
43	5.256137587
44	5.240153375
45	5.225997345
46	5.202253269
47	5.176265416
48	5.161359078
49	5.149139352
50	5.131450442
51	5.11245786
52	5.093139854
53	5.077648617
54	5.055600079
55	5.042208249
56	5.029757671
57	5.019693018
58	5.010654827
59	4.996520432
60	4.973241351
61	4.965146623
62	4.954214718
63	4.946969848
64	4.939777688
65	4.931378731
66	4.921262562
67	4.90216448
68	4.892074749
69	4.879753163
70	4.872775919
71	4.865972289
72	4.851676816
73	4.84268276
74	4.822500811
75	4.818381546
76	4.814163349
77	4.807652737
78	4.790297217
79	4.776884345
80	4.770130399
81	4.761271628
82	4.754642502
83	4.748759305
84	4.744151589
85	4.741004108
86	4.734430134
87	4.717555281
88	4.712593614
89	4.694117707
90	4.674724433
91	4.668334623
92	4.656978832
93	4.642295617
94	4.636197275
95	4.629723061
96	4.625206551
97	4.615561111
98	4.60875888
99	4.598392909
