iter	RMSE
0	14.84743786
1	14.50586196
2	14.16395526
3	13.81752632
4	13.51103975
5	13.18861515
6	12.87124649
7	12.57128299
8	12.26723985
9	11.99558721
10	11.75605328
11	11.49272105
12	11.2380108
13	11.03488277
14	10.79436434
15	10.56244872
16	10.34827674
17	10.13854817
18	9.956900087
19	9.757878969
20	9.561627247
21	9.38568881
22	9.215306419
23	9.060891766
24	8.916691363
25	8.751474197
26	8.608423489
27	8.464638196
28	8.341836373
29	8.225454914
30	8.096927448
31	7.983881327
32	7.864908894
33	7.769636075
34	7.668639757
35	7.575486721
36	7.497716032
37	7.405025928
38	7.316664036
39	7.234558251
40	7.154326656
41	7.07210094
42	6.993678548
43	6.940758641
44	6.868540924
45	6.806229735
46	6.74010771
47	6.67273276
48	6.618954758
49	6.555032066
50	6.497416155
51	6.446353252
52	6.400314636
53	6.354858479
54	6.311188194
55	6.27240997
56	6.230209514
57	6.190147052
58	6.151410858
59	6.114301579
60	6.079932403
61	6.042342694
62	6.011337011
63	5.977580051
64	5.948393585
65	5.924186198
66	5.898165247
67	5.869740257
68	5.842032098
69	5.81423517
70	5.794253718
71	5.775574859
72	5.758893047
73	5.740640655
74	5.723383084
75	5.702763617
76	5.686437039
77	5.663039603
78	5.650234791
79	5.628881221
80	5.61235969
81	5.596443422
82	5.582611526
83	5.565453388
84	5.543082702
85	5.527210421
86	5.513789085
87	5.501717613
88	5.492588871
89	5.476357117
90	5.464678274
91	5.454142641
92	5.44431635
93	5.435829987
94	5.424373323
95	5.413310751
96	5.404180512
97	5.392055162
98	5.378254143
99	5.36516706
100	5.353917821
101	5.344131047
102	5.33380365
103	5.325567766
104	5.318996701
105	5.312972654
106	5.307279639
107	5.297147388
108	5.290023825
109	5.278473192
110	5.269647609
111	5.257180853
112	5.247601177
113	5.239670303
114	5.23147916
115	5.227356649
116	5.220846473
117	5.213229013
118	5.207232856
119	5.195251903
120	5.190003991
121	5.186702459
122	5.181889636
123	5.177401775
124	5.165588856
125	5.16262063
126	5.156647547
127	5.152300625
128	5.145840722
129	5.14331398
130	5.136846847
131	5.13236291
132	5.129303121
133	5.12554992
134	5.119157117
135	5.11004118
136	5.103954817
137	5.101503128
138	5.095176213
139	5.091388843
140	5.084012251
141	5.079889296
142	5.073193734
143	5.067389321
144	5.065560346
145	5.062585199
146	5.057533676
147	5.049891347
148	5.044880868
149	5.039070862
150	5.031352913
151	5.024499225
152	5.019647011
153	5.012890722
154	5.007402758
155	5.00373712
156	5.001270931
157	4.997507161
158	4.989250549
159	4.984075454
160	4.98288957
161	4.977330429
162	4.972798418
163	4.968203222
164	4.962314436
165	4.954615097
166	4.950440601
167	4.944915075
168	4.940091688
169	4.935987355
170	4.931700344
171	4.926796795
172	4.92209408
173	4.917410964
174	4.910193104
175	4.905200179
176	4.901666306
177	4.8978781
178	4.893481661
179	4.888388801
180	4.883517515
181	4.881590877
182	4.876859018
183	4.871599334
184	4.868107222
185	4.862686504
186	4.85749495
187	4.855502798
188	4.850345324
189	4.847223349
190	4.842571278
191	4.839301088
192	4.834192785
193	4.827958427
194	4.823188995
195	4.819076932
196	4.816661599
197	4.815249957
198	4.813226621
199	4.809481384
200	4.80658007
201	4.80095989
202	4.800274526
203	4.796781692
204	4.792991579
205	4.790102355
206	4.78346187
207	4.779772517
208	4.772849281
209	4.769473499
210	4.766807863
211	4.763107903
212	4.760902654
213	4.759350996
214	4.756984571
215	4.752665911
216	4.749885159
217	4.746389581
218	4.738397957
219	4.736676491
220	4.732515456
221	4.726798508
222	4.724508548
223	4.720235859
224	4.713739858
225	4.712402455
226	4.705834195
227	4.699369473
228	4.695668357
229	4.690534832
230	4.688020042
231	4.68501009
232	4.679465646
233	4.6759263
234	4.672649912
235	4.667398614
236	4.665207892
237	4.660912247
238	4.656267684
239	4.651618324
240	4.65076446
241	4.648912509
242	4.644749714
243	4.642729749
244	4.641100118
245	4.639926582
246	4.635794647
247	4.629088203
248	4.625271807
249	4.62351813
250	4.621343542
251	4.619108153
252	4.615289197
253	4.612775213
254	4.609330338
255	4.605444555
256	4.601546669
257	4.596433322
258	4.592449231
259	4.589461111
260	4.586876892
261	4.583053374
262	4.57704527
263	4.575284133
264	4.566207583
265	4.563844375
266	4.561806064
267	4.559545121
268	4.555725346
269	4.548929189
270	4.544817151
271	4.540677458
272	4.537225082
273	4.535580736
274	4.533916941
275	4.53232667
276	4.530653473
277	4.528977581
278	4.525948645
279	4.522255458
280	4.520980205
281	4.515833033
282	4.512158687
283	4.509672816
284	4.503160153
285	4.501272536
286	4.498896878
287	4.49413381
288	4.489819558
289	4.486824926
290	4.484438217
291	4.479721057
292	4.475830445
293	4.471435505
294	4.467013922
295	4.460889406
296	4.458211134
297	4.451678088
298	4.450504063
299	4.447842126
300	4.444914572
301	4.443278682
302	4.440661016
303	4.43556988
304	4.431165522
305	4.425835066
306	4.421448456
307	4.418813904
308	4.416305679
309	4.412773903
310	4.407477638
311	4.404622818
312	4.400680796
313	4.395273854
314	4.393453661
315	4.391994852
316	4.385705326
317	4.382835156
318	4.377009372
319	4.372326488
320	4.367366783
321	4.363401028
322	4.357880278
323	4.356253027
324	4.352765444
325	4.347841943
326	4.342914728
327	4.339955212
328	4.338188339
329	4.335861878
330	4.334666767
331	4.331491873
332	4.328987148
333	4.322720755
334	4.318097328
335	4.313330755
336	4.311881821
337	4.310487427
338	4.307679492
339	4.305373235
340	4.302527108
341	4.299612941
342	4.295643815
343	4.292240537
344	4.2884007
345	4.284151406
346	4.279634622
347	4.27787364
348	4.275568674
349	4.272298932
350	4.269060648
351	4.266159361
352	4.262830214
353	4.257715127
354	4.254765797
355	4.253698182
356	4.251210477
357	4.248366737
358	4.246410264
359	4.243201148
360	4.241515762
361	4.237952689
362	4.233290839
363	4.232227332
364	4.228018663
365	4.225466951
366	4.222202762
367	4.219056713
368	4.216431434
369	4.212287008
370	4.208231441
371	4.20357882
372	4.200621359
373	4.199920315
374	4.197406854
375	4.192965939
376	4.18885875
377	4.185243578
378	4.181365396
379	4.180287188
380	4.178808404
381	4.176462538
382	4.171042799
383	4.167403714
384	4.161385731
385	4.159944011
386	4.158125165
387	4.154198859
388	4.151208169
389	4.147678204
390	4.142970657
391	4.139267248
392	4.136479199
393	4.133710902
394	4.129904064
395	4.126437247
396	4.124525246
397	4.122495594
398	4.120884998
399	4.119309428
400	4.118388577
401	4.116510663
402	4.112750749
403	4.109241105
404	4.105585011
405	4.102015256
406	4.099186581
407	4.095785804
408	4.092628578
409	4.090471522
410	4.087775473
411	4.084314683
412	4.082776208
413	4.079953743
414	4.07687927
415	4.073846292
416	4.071960369
417	4.069779608
418	4.068229384
419	4.06810889
420	4.064252026
421	4.060653007
422	4.059134221
423	4.055691082
424	4.054435193
425	4.050796877
426	4.046475688
427	4.044035185
428	4.040332039
429	4.038268034
430	4.037195167
431	4.033305328
432	4.031284504
433	4.028488945
434	4.023534354
435	4.020888456
436	4.018360335
437	4.015297815
438	4.011723415
439	4.009897783
440	4.005356068
441	4.001558034
442	3.998316737
443	3.996433639
444	3.995653252
445	3.993519541
446	3.991739323
447	3.989982241
448	3.986773188
449	3.983794101
450	3.979975211
451	3.975673595
452	3.971406737
453	3.970787515
454	3.970118211
455	3.967370197
456	3.966282462
457	3.964484858
458	3.963872277
459	3.960407218
460	3.958885459
461	3.95711501
462	3.956355122
463	3.952633195
464	3.950487452
465	3.949335618
466	3.946040225
467	3.943927235
468	3.942542072
469	3.940547631
470	3.938445105
471	3.937256973
472	3.936426818
473	3.932263669
474	3.930972786
475	3.927649119
476	3.923465791
477	3.921571644
478	3.920328945
479	3.916352993
480	3.915197338
481	3.913328576
482	3.911873967
483	3.909335035
484	3.906720531
485	3.902917041
486	3.902139779
487	3.9012915
488	3.900088338
489	3.897768376
490	3.894609267
491	3.892606394
492	3.889351411
493	3.88624149
494	3.882880397
495	3.87887258
496	3.876863749
497	3.874939938
498	3.873735841
499	3.870670734
500	3.869304718
501	3.865055925
502	3.863934975
503	3.86226894
504	3.858002317
505	3.855619671
506	3.853229693
507	3.851183088
508	3.848796214
509	3.847983227
510	3.846025933
511	3.844361781
512	3.843013033
513	3.841147601
514	3.83920873
515	3.837209024
516	3.836023366
517	3.833543882
518	3.831241199
519	3.82880503
520	3.827376335
521	3.824432469
522	3.822894147
523	3.821000395
524	3.816345965
525	3.81563508
526	3.814613227
527	3.813227313
528	3.811953034
529	3.807673953
530	3.804144169
531	3.803123474
532	3.799238432
533	3.795435714
534	3.793754496
535	3.791845951
536	3.788701055
537	3.787149927
538	3.786591412
539	3.782374142
540	3.781038311
541	3.779255224
542	3.777768679
543	3.775674822
544	3.774898967
545	3.772097487
546	3.768775753
547	3.766417687
548	3.763334228
549	3.760453188
550	3.757715046
551	3.75633951
552	3.753451569
553	3.752530009
554	3.74872995
555	3.746494615
556	3.744022324
557	3.740417032
558	3.739378572
559	3.735768221
560	3.734873103
561	3.734475061
562	3.733982466
563	3.731918319
564	3.7313824
565	3.730939752
566	3.729712996
567	3.726267892
568	3.724060729
569	3.719976018
570	3.718188624
571	3.715960637
572	3.714371255
573	3.713382189
574	3.711452299
575	3.70852059
576	3.707836551
577	3.704977403
578	3.704291894
579	3.700725655
580	3.698914715
581	3.697486421
582	3.695012828
583	3.692042017
584	3.690811159
585	3.68976281
586	3.688821551
587	3.68749655
588	3.68431726
589	3.683110353
590	3.680933756
591	3.676825413
592	3.673449795
593	3.671899532
594	3.668203446
595	3.664594847
596	3.662143965
597	3.661057071
598	3.657871623
599	3.654932795
600	3.653679471
601	3.651234601
602	3.648262821
603	3.645261444
604	3.641400739
605	3.64071407
606	3.64025219
607	3.637156454
608	3.63466473
609	3.633150715
610	3.629681403
611	3.627811685
612	3.625295338
613	3.62384664
614	3.622843354
615	3.619932365
616	3.617340301
617	3.614862427
618	3.612577115
619	3.610132802
620	3.606055436
621	3.604990683
622	3.603072304
