iter	Passed	Remaining
0	142	142351
1	143	71357
2	143	47702
3	143	35845
4	144	28776
5	145	24086
6	146	20720
7	146	18162
8	146	16181
9	147	14584
10	147	13284
11	148	12198
12	148	11294
13	149	10532
14	150	9860
15	150	9265
16	151	8746
17	151	8277
18	152	7857
19	152	7481
20	153	7138
21	153	6825
22	153	6540
23	154	6280
24	154	6043
25	155	5822
26	155	5616
27	156	5427
28	156	5253
29	157	5089
30	157	4935
31	158	4790
32	158	4657
33	159	4528
34	159	4410
35	160	4294
36	160	4185
37	161	4085
38	161	3988
39	162	3894
40	162	3808
41	163	3723
42	163	3642
43	164	3565
44	164	3492
45	164	3421
46	165	3354
47	165	3289
48	166	3228
49	166	3169
50	167	3113
51	167	3060
52	168	3008
53	168	2956
54	169	2908
55	169	2862
56	170	2816
57	170	2772
58	171	2729
59	171	2689
60	172	2648
61	172	2610
62	173	2573
63	173	2537
64	173	2502
65	174	2468
66	174	2434
67	175	2402
68	175	2371
69	176	2340
70	176	2311
71	177	2283
72	177	2254
73	178	2227
74	178	2202
75	179	2176
76	179	2152
77	180	2128
78	180	2103
79	180	2080
80	181	2058
81	181	2037
82	182	2016
83	183	1996
84	183	1976
85	184	1955
86	184	1936
87	185	1918
88	185	1899
89	186	1881
90	186	1865
91	187	1847
92	187	1831
93	188	1814
94	188	1797
95	189	1781
96	189	1764
97	190	1748
98	190	1733
99	190	1717
100	191	1702
101	191	1688
102	192	1674
103	192	1660
104	193	1647
105	193	1633
106	194	1621
107	194	1609
108	195	1597
109	195	1585
110	196	1573
111	196	1561
112	197	1550
113	198	1539
114	198	1528
115	199	1516
116	199	1505
117	199	1494
118	200	1483
119	200	1473
120	201	1463
121	201	1453
122	202	1444
123	203	1434
124	203	1424
125	204	1416
126	204	1406
127	205	1397
128	205	1387
129	205	1377
130	206	1368
131	206	1359
132	207	1350
133	207	1341
134	207	1332
135	208	1323
136	208	1316
137	209	1308
138	210	1300
139	210	1293
140	210	1285
141	211	1276
142	211	1269
143	212	1261
144	212	1253
145	212	1245
146	213	1238
147	213	1231
148	214	1224
149	214	1216
150	215	1209
151	215	1202
152	216	1195
153	216	1188
154	216	1182
155	217	1175
156	217	1168
157	218	1162
158	218	1155
159	218	1149
160	219	1143
161	219	1137
162	220	1130
163	220	1124
164	221	1119
165	221	1114
166	222	1108
167	222	1102
168	222	1096
169	223	1090
170	223	1085
171	224	1079
172	224	1073
173	225	1068
174	225	1063
175	225	1057
176	226	1052
177	226	1047
178	227	1042
179	227	1037
180	228	1031
181	228	1027
182	228	1022
183	229	1017
184	229	1012
185	230	1007
186	230	1003
187	231	998
188	231	993
189	231	988
190	232	984
191	232	979
192	233	975
193	233	971
194	234	967
195	234	963
196	235	958
197	235	954
198	236	950
199	236	945
200	236	941
201	237	937
202	237	932
203	237	928
204	238	924
205	238	920
206	239	916
207	239	912
208	239	908
209	240	904
210	240	900
211	241	896
212	241	892
213	242	888
214	242	885
215	242	881
216	243	877
217	243	874
218	244	870
219	244	867
220	245	863
221	245	860
222	246	857
223	246	854
224	247	851
225	247	847
226	248	844
227	248	841
228	248	838
229	249	834
230	249	831
231	250	828
232	250	825
233	251	822
234	251	819
235	252	816
236	252	813
237	253	810
238	253	807
239	253	804
240	254	800
241	254	798
242	255	795
243	255	792
244	256	789
245	256	786
246	257	783
247	257	780
248	257	778
249	258	775
250	259	773
251	259	770
252	259	767
253	260	765
254	260	762
255	261	759
256	261	756
257	262	753
258	262	751
259	262	748
260	263	745
261	263	743
262	264	740
263	264	737
264	265	735
265	265	732
266	266	730
267	266	728
268	267	725
269	267	723
270	267	720
271	268	718
272	268	716
273	269	713
274	269	711
275	270	709
276	270	706
277	271	704
278	271	702
279	272	699
280	272	697
281	273	695
282	273	693
283	273	690
284	274	688
285	274	686
286	275	684
287	275	682
288	276	680
289	276	677
290	277	675
291	277	673
292	278	671
293	278	669
294	279	667
295	279	665
296	280	663
297	280	661
298	281	659
299	281	657
300	282	656
301	283	654
302	283	652
303	284	650
304	284	648
305	285	646
306	285	644
307	286	642
308	286	640
309	286	638
310	287	636
311	287	634
312	288	632
313	288	630
314	289	628
315	289	626
316	289	624
317	290	622
318	290	620
319	291	619
320	291	617
321	292	615
322	292	613
323	293	611
324	293	609
325	294	608
326	294	606
327	295	604
328	295	602
329	296	601
330	296	599
331	296	597
332	297	595
333	297	594
334	298	592
335	298	590
336	299	589
337	299	587
338	300	585
339	300	583
340	301	582
341	301	580
342	302	578
343	302	577
344	303	575
345	303	573
346	304	572
347	304	570
348	304	568
349	305	567
350	305	565
351	306	563
352	306	562
353	307	560
354	307	559
355	308	557
356	308	556
357	309	554
358	309	552
359	310	551
360	310	549
361	310	548
362	311	546
363	311	544
364	312	543
365	312	541
366	313	540
367	313	538
368	313	536
369	314	535
370	314	534
371	315	532
372	315	531
373	316	529
374	316	527
375	317	526
376	317	524
377	318	523
378	318	521
379	319	520
380	319	519
381	320	517
382	320	516
383	320	514
384	321	513
385	321	511
386	322	510
387	322	508
388	323	507
389	323	506
390	323	504
391	324	503
392	324	501
393	325	500
394	325	498
395	326	497
396	326	496
397	326	494
398	327	493
399	328	492
400	328	490
401	329	489
402	329	488
403	329	486
404	330	485
405	330	484
406	331	483
407	332	481
408	332	480
409	333	479
410	333	478
411	333	476
412	334	475
413	334	473
414	335	472
415	335	471
416	336	469
417	336	468
418	336	467
419	337	465
420	337	464
421	338	463
422	338	461
423	339	460
424	339	459
425	339	457
426	340	456
427	340	455
428	341	454
429	341	452
430	341	451
431	342	450
432	342	448
433	343	447
434	343	446
435	344	445
436	344	444
437	345	443
438	345	441
439	346	440
440	346	439
441	347	438
442	347	437
443	348	435
444	348	434
445	349	433
446	349	432
447	349	431
448	350	429
449	350	428
450	351	427
451	351	426
452	352	425
453	352	424
454	353	422
455	353	421
456	353	420
457	354	419
458	354	418
459	355	417
460	355	416
461	356	414
462	357	414
463	357	413
464	358	411
465	358	410
466	358	409
467	359	408
468	359	407
469	360	406
470	360	405
471	361	404
472	361	403
473	362	402
474	362	401
475	363	399
476	363	398
477	364	397
478	364	396
479	365	395
480	365	394
481	366	393
482	366	392
483	367	391
484	367	390
485	368	389
486	368	388
487	369	387
488	369	386
489	370	385
490	370	384
491	371	383
492	371	382
493	372	381
494	372	380
495	373	379
496	373	378
497	373	376
498	374	375
499	374	374
500	375	373
501	375	372
502	376	371
503	376	370
504	377	369
505	377	368
506	378	367
507	378	366
508	378	365
509	379	364
510	379	363
511	380	362
512	380	361
513	381	360
514	381	359
515	382	358
516	382	357
517	383	356
518	383	355
519	384	354
520	384	353
521	385	352
522	385	352
523	386	351
524	386	350
525	387	349
526	387	348
527	388	347
528	388	346
529	389	345
530	389	344
531	390	343
532	390	342
533	391	341
534	391	340
535	392	339
536	392	338
537	393	337
538	393	336
539	394	335
540	394	335
541	395	334
542	395	333
543	396	332
544	396	331
545	397	330
546	397	329
547	398	328
548	398	327
549	399	326
550	399	325
551	399	324
552	400	323
553	400	322
554	401	321
555	401	320
556	402	319
557	402	318
558	403	317
559	403	316
560	403	316
561	404	315
562	404	314
563	405	313
564	405	312
565	406	311
566	406	310
567	406	309
568	407	308
569	407	307
570	408	306
571	408	305
572	409	304
573	409	303
574	410	303
575	410	302
576	411	301
577	411	300
